,ST,ST_conf
R,0.7951716045865236,0.6804100522569739
U,0.4152376239669358,0.5717279427627688
P,0.1538345452741016,0.3190634678882414
e,0.21701986345082241,0.33193806059626857
tau,0.4120689732935652,0.427873780258492
v,0.40757308742013226,0.4533293157471659
K,0.0005891920037267998,0.0013334849602344419
r,5.6491423378451884e-05,0.0001085600896935363
B,0.00020499435199307145,0.00020970802553809043
