,S1,S1_conf
R,-0.08587773452215504,0.5424374652376264
U,0.008947450481634334,0.414653144742067
P,-0.10776210972524723,0.232549928272542
e,-0.006383499820632898,0.4337222655379512
tau,0.22960357002422932,0.3379138969178054
v,0.28988649434115216,0.5471233419382162
K,0.0038457129353331038,0.008126052625915602
r,0.0026328969591388226,0.006267383586992623
B,0.005295140019699744,0.007282058789660326
